modelo,notacao_kendall,periodo,lambda_hora,c,replica,seed,tempo_medio_servico_seg,mu_estimado_hora,rho,status_estabilidade,total_chegadas,total_atendidas,Wq_seg,W_seg,Lq,L,Lq_observado_area,L_observado_area,erro_little_L,erro_little_Lq,P50_W_seg,P90_W_seg,P95_W_seg,utilizacao_empirica,throughput_hora,taxa_fila,fator_degradacao
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,1,20320603,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,466,466,1.8304735070853333,14.3021735070846,0.030507891784755554,0.23836955845141,0.031612093327908215,0.247345788348331,3.7656779478201514,3.6193964202548328,12.471700000000055,21.3247728009635,23.781179469453946,0.21573369502042278,62.13333333333333,0.22532188841201717,1.0198553499508225
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,2,20320604,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,453,453,2.0685617689098255,14.540261768909037,0.03447602948183042,0.24233769614848394,0.03470586967837596,0.24395328078947387,0.6666666666666824,0.6666666666666743,12.471700000000055,20.836980277527626,24.10111259589521,0.2092474111110979,60.4,0.2052980132450331,1.0368328804962228
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,3,20320605,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,432,432,1.8915881255581697,14.363288125557425,0.03152646875930283,0.23938813542595708,0.030265410008930717,0.22981261000891878,4.000000000000005,4.000000000000003,12.471700000000055,20.754994132225146,24.320882859694553,0.19954719999998807,57.6,0.2199074074074074,1.0242132939080006
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,4,20320606,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,452,450,1.6625615424312516,14.134261542430506,0.02770935904052086,0.2355710257071751,0.028216573712237975,0.2365192459471114,0.4025198927116661,1.8304814303910386,12.471700000000055,20.286042683981897,24.10309022951587,0.20830267223487345,60.0,0.19111111111111112,1.0078819309884246
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,5,20320607,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,456,455,1.2120046338878148,13.683704633887066,0.020200077231463578,0.22806174389811776,0.020424522534035396,0.23083938550099006,1.2179340363691875,1.1111111111111158,12.471700000000055,17.162655724699288,21.638528281350943,0.21041486296695466,60.666666666666664,0.1912087912087912,0.9757537461773736
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,6,20320608,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,462,461,1.841058725850525,14.31275872584974,0.030684312097508753,0.23854597876416234,0.0314343730598923,0.24444059526007178,2.4710609361129228,2.4444444444444473,12.471700000000055,20.594417653626806,23.911678560939436,0.2130062222001795,61.46666666666667,0.227765726681128,1.020610157741588
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,7,20320609,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,426,426,1.3722443977868584,13.843944397786094,0.022870739963114305,0.23073240662976824,0.021650967165081546,0.21842667827618062,5.333333333333325,5.333333333333315,12.471700000000055,18.81555401373953,22.875144019607433,0.19677571111109904,56.8,0.176056338028169,0.987180078014722
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,8,20320610,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,404,404,1.0531501498280997,13.52485014982729,0.017552502497134994,0.22541416916378818,0.01575824668631675,0.20271501467439942,10.069976778121397,10.222222222222223,12.471700000000055,17.489358826972968,21.263341183324197,0.18695676798808267,53.86666666666667,0.16336633663366337,0.9644261954836425
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,9,20320611,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,447,447,1.6091261112272779,14.080826111226498,0.02681876852045463,0.2346804351871083,0.026639976730318267,0.23311589895252757,0.6666666666666664,0.6666666666666646,12.471700000000055,20.601793462924796,22.728849769205954,0.20647592222220934,59.6,0.20134228187919462,1.0040715723486457
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,10,20320612,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,460,458,1.6399478693279168,14.111647869327138,0.027332464488798613,0.2351941311554523,0.028118903785265787,0.24031628303872735,2.1778400073637694,2.877308399282736,12.471700000000055,20.649135748836674,22.856563811711972,0.21219737925346152,61.06666666666667,0.2205240174672489,1.006269401572173
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,11,20320613,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,452,452,1.6436171447535233,14.11531714475275,0.027393619079225388,0.23525528574587914,0.02751536849735528,0.2363008647936386,0.44444444444444065,0.44444444444445197,12.471700000000055,20.952768884814944,23.33041182728739,0.20878549629628335,60.266666666666666,0.20353982300884957,1.0065310492281323
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,12,20320614,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,447,447,1.7265445161065562,14.198244516105756,0.028775741935109272,0.2366374086017626,0.028583903655541875,0.23505982587775084,0.6666666666666712,0.6666666666666722,12.471700000000055,20.659490388844283,24.064167946620543,0.20647592222220898,59.6,0.2080536912751678,1.0124444108084423
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,13,20320615,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,428,428,1.3218644591703774,13.793564459169582,0.02203107431950629,0.2298927409861597,0.020953999574997093,0.21865354031572523,4.888888888888884,4.888888888888896,12.471700000000055,18.950007021934105,22.871286377615366,0.19769954074072815,57.06666666666667,0.17757009345794392,0.9835875995775955
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,14,20320616,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,425,425,1.273623418973897,13.745323418973118,0.021227056982898285,0.22908872364955196,0.020047776039403938,0.21636157233568795,5.555555555555561,5.555555555555543,12.471700000000055,17.75014997211766,22.793658902467723,0.19631379629628404,56.666666666666664,0.19294117647058823,0.9801476411050468
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,15,20320617,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,442,442,1.4514762327326036,13.923176232731748,0.024191270545543393,0.2320529372121958,0.02376120351362262,0.22792755166175677,1.7777777777777777,1.7777777777777755,12.471700000000055,18.84069748026196,23.179348208537796,0.20416634814813417,58.93333333333333,0.16968325791855204,0.9928299193284019
M/D/1,M/D/1/∞/∞/FIFO,fora_pico,60,1,16,20320618,12.4717,288.6535115501495,0.2078616666666667,ESTAVEL,405,405,1.3710548588193483,13.842754858818639,0.022850914313655806,0.23071258098031064,0.020565822882290224,0.20764132288227954,10.000000000000012,10.000000000000005,12.471700000000055,18.592790220218742,22.827231305355234,0.18707549999998935,54.0,0.2,0.9870952547059197
