modelo,notacao_kendall,periodo,lambda_hora,c,tempo_medio_servico_seg,mu_estimado_hora,rho_medio,Wq_media_seg,Wq_desvio_padrao_seg,W_media_seg,W_desvio_padrao_seg,Lq_media,L_media,utilizacao_media,P95_W_medio_seg,throughput_medio_hora,taxa_fila_media,quantidade_replicas,status_predominante,fator_degradacao_medio,erro_little_L_medio,erro_little_Lq_medio
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,60,1,12.4717,288.6535115501495,0.20786166666666675,1.5520274901534161,0.2424989496424696,14.02372749015265,0.24249894964247887,0.02586712483589027,0.2337287915025441,0.20340000162425534,23.11035174871879,58.67111111111112,0.19929504718724717,30,ESTAVEL,1.1062544881093936,3.1354693750435816,3.288801318234609
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,60,2,12.4717,288.6535115501495,0.10393083333333338,0.08665484430496542,0.035701681969163436,12.558354844304189,0.03570168196916841,0.0014442474050827571,0.20930591407173652,0.1048677766291069,12.471700000000055,60.50222222222222,0.02059142303371335,30,ESTAVEL,0.9906593250287575,3.1294312891971177,3.1185185185185174
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,60,3,12.4717,288.6535115501495,0.06928722222222222,0.0018327060710953285,0.003979021039518266,12.473532706070303,0.003979021039524454,3.054510118492215e-05,0.2078922117678384,0.0687720329335682,12.471700000000055,59.524444444444455,0.0008943722767080255,30,ESTAVEL,0.983968174535555,3.0836299604773725,2.5050505050505043
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,60,4,12.4717,288.6535115501495,0.05196541666666669,0.0,0.0,12.471699999999213,4.159112221210214e-14,0.0,0.20786166666665357,0.05124789167040024,12.471700000000055,59.14222222222222,0.0,30,ESTAVEL,0.9838236024652581,4.0535898950600275,
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,60,5,12.4717,288.6535115501495,0.041572333333333336,0.0,0.0,12.47169999999921,3.8037109214936473e-14,0.0,0.20786166666665357,0.0415455709180054,12.471700000000055,59.94222222222221,0.0,30,ESTAVEL,0.9838236024652581,4.827309276650648,
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,60,8,12.4717,288.6535115501495,0.025982708333333344,0.0,0.0,12.471699999999213,3.7685347032138565e-14,0.0,0.20786166666665362,0.025928488897167878,12.471700000000055,59.83111111111111,0.0,30,ESTAVEL,0.9838236024652585,2.4983460941791886,
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,60,10,12.4717,288.6535115501495,0.020786166666666668,0.0,0.0,12.47169999999921,3.490512224985038e-14,0.0,0.20786166666665348,0.020777472471968424,12.471700000000055,59.96,0.0,30,ESTAVEL,0.9838236024652584,3.446415247967344,
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,60,15,12.4717,288.6535115501495,0.013857444444444441,0.0,0.0,12.471699999999236,4.5517855423037426e-14,0.0,0.2078616666666539,0.01377983592976784,12.471700000000055,59.64888888888889,0.0,30,ESTAVEL,0.9838236024652602,3.0464923567254183,
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,120,1,12.4717,288.6535115501495,0.4157233333333335,4.683741200022553,0.570050852189717,17.15544120002177,0.5700508521897184,0.1561247066674184,0.5718480400007258,0.4195454635928717,33.69627838226946,121.02666666666666,0.4251583713242521,30,ESTAVEL,1.3532981039703813,2.595534801785123,2.588001902216194
M/D/c,M/D/c/∞/∞/FIFO,fora_pico,120,2,12.4717,288.6535115501495,0.20786166666666675,0.3387279297670513,0.07500881947567566,12.810427929766263,0.07500881947567838,0.011290930992235043,0.427014264325542,0.20987163826319566,14.643132673906432,121.11999999999999,0.06955867920694642,30,ESTAVEL,1.0105439799694507,3.2626830573071164,3.2312627557842157
